.;Tour_1;%ins;%vot;.;Tour_2;%ins;%vot;;Candidat;Voix_T1;%_ins;%_exp;.;Voix_T2;%_ins;%_exp
Inscrits;44472834;;;;44472733;;;;M. BESANCENOT Olivier;1498581;3.37;4.08
Abstentions;7218592;16.23;;;7130729;16.03;;;Mme BUFFET Marie-George;707268;1.59;1.93
Votants;37254242;83.77;;;37342004;83.97;;;M. SCHIVARDI Gérard;123540;0.28;0.34
Blancs et nuls;534846;1.2;1.44;;1568426;3.53;4.2;;M. BAYROU François;6820119;15.34;18.57
Exprimés;36719396;82.57;98.56;;35773578;80.44;95.8;;M. BOVÉ José;483008;1.09;1.32
;;;;;;;;;Mme VOYNET Dominique;576666;1.3;1.57
;;;;;;;;;M. de VILLIERS Philippe;818407;1.84;2.23
;;;;;;;;;Mme ROYAL Ségolène;9500112;21.36;25.87;;16790440;37.75;46.94
;;;;;;;;;M. NIHOUS Frédéric;420645;0.95;1.15
;;;;;;;;;M. LE PEN Jean-Marie;3834530;8.62;10.44
;;;;;;;;;Mme LAGUILLER Arlette;487857;1.1;1.33
;;;;;;;;;M. SARKOZY Nicolas;11448663;25.74;31.18;;18983138;42.68;53.06
;;;;;;;;;;36719396;;;;35773578
