Résultats - Tour 1
France entière
.;Nombre;%ins;%vot;;Candidat;Voix;%_ins;%_exp
Inscrits;47582183;;;;M. DUPONT-AIGNAN Nicolas;1695000;3.56;4.7
Abstentions;10578455;22.23;;;Mme LE PEN Marine;7678491;16.14;21.3
Votants;37003728;77.77;;;M. MACRON Emmanuel;8656346;18.19;24.01
Blancs;659997;1.39;1.78;;M. HAMON Benoît;2291288;4.82;6.36
Nuls;289337;0.61;0.78;;Mme ARTHAUD Nathalie;232384;0.49;0.64
Exprimés;36054394;75.77;97.43;;M. POUTOU Philippe;394505;0.83;1.09
;;;;;M. CHEMINADE Jacques;65586;0.14;0.18
;;;;;M. LASSALLE Jean;435301;0.91;1.21
;;;;;M. MÉLENCHON Jean-Luc;7059951;14.84;19.58
;;;;;M. ASSELINEAU François;332547;0.7;0.92
;;;;;M. FILLON François;7212995;15.16;20.01
;;;;;;36054394
Métropole
.;Nombre;%ins;%vot;;Candidat;Voix;%_ins;%_exp
Inscrits;44443212;;;;M. DUPONT-AIGNAN Nicolas;1665507;3.75;4.8
Abstentions;8880147;19.98;;;Mme LE PEN Marine;7465123;16.8;21.52
Votants;35563065;80.02;;;M. MACRON Emmanuel;8267074;18.6;23.83
Blancs;621608;1.4;1.75;;M. HAMON Benoît;2189394;4.93;6.31
Nuls;251550;0.57;0.71;;Mme ARTHAUD Nathalie;219219;0.49;0.63
Exprimés;34689907;78.05;97.54;;M. POUTOU Philippe;376935;0.85;1.09
;;;;;M. CHEMINADE Jacques;62166;0.14;0.18
;;;;;M. LASSALLE Jean;427564;0.96;1.23
;;;;;M. MÉLENCHON Jean-Luc;6803933;15.31;19.61
;;;;;M. ASSELINEAU François;313831;0.71;0.9
;;;;;M. FILLON François;6899161;15.52;19.89
;;;;;;34689907
Outre-mer
.;Nombre;%ins;%vot;;Candidat;Voix;%_ins;%_exp
Inscrits;1874858;;;;M. DUPONT-AIGNAN Nicolas;20656;1.1;2.55
Abstentions;993925;53.01;;;Mme LE PEN Marine;177442;9.46;21.9
Votants;880933;46.99;;;M. MACRON Emmanuel;165393;8.82;20.41
Blancs;35220;1.88;4;;M. HAMON Benoît;63802;3.4;7.87
Nuls;35345;1.89;4.01;;Mme ARTHAUD Nathalie;11853;0.63;1.46
Exprimés;810368;43.22;91.99;;M. POUTOU Philippe;14156;0.76;1.75
;;;;;M. CHEMINADE Jacques;2390;0.13;0.29
;;;;;M. LASSALLE Jean;5207;0.28;0.64
;;;;;M. MÉLENCHON Jean-Luc;168326;8.98;20.77
;;;;;M. ASSELINEAU François;13138;0.7;1.62
;;;;;M. FILLON François;168005;8.96;20.73
;;;;;;810368
